學校名稱,科系,地址,官方網站
宏國德霖科技大學,電腦與通訊工程系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,室內設計系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,企業管理系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,應用英語系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,餐旅管理系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,餐飲廚藝系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,休閒事業管理系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
宏國德霖科技大學,園藝系,236302新北市土城區青雲路380巷1號,https://www.hdut.edu.tw
台北海洋科技大學,航海與航運管理系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,輪機工程系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,餐飲管理系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,海洋運動休閒與觀光管理系海洋運動休閒組,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,海洋運動休閒與觀光管理系觀光管理組,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,電競數位遊戲與動畫設計系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,寵物業經營管理系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,健康促進與銀髮保健系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,健康照顧社會工作系,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
台北海洋科技大學,新媒體互動科技應用學士學位學程,士林校區：111078台北市士林區延平北路九段212號淡水校區：251671新北市淡水區濱海路三段150號,https://www.tumt.edu.tw
亞東科技大學,機械工程系,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
亞東科技大學,機械工程系汽車組,220303新北市板橋區四川路二段58號,https://www.aeust.edu.tw
